ID,RIVER,LOCATION,ERECTED,PURPOSE,LENGTH,LANES,CLEAR-G,T-OR-D,MATERIAL,SPAN,REL-L,TYPE
E1,M,3.0,1818,HIGHWAY,,2.0,N,THROUGH,WOOD,SHORT,S,WOOD
E2,A,25.0,1819,HIGHWAY,1037.0,2.0,N,THROUGH,WOOD,SHORT,S,WOOD
E3,A,39.0,1829,AQUEDUCT,,1.0,N,THROUGH,WOOD,,S,WOOD
E5,A,29.0,1837,HIGHWAY,1000.0,2.0,N,THROUGH,WOOD,SHORT,S,WOOD
E6,M,23.0,1838,HIGHWAY,,2.0,N,THROUGH,WOOD,,S,WOOD
E7,A,27.0,1840,HIGHWAY,990.0,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
E8,A,28.0,1844,AQUEDUCT,1000.0,1.0,N,THROUGH,IRON,SHORT,S,SUSPEN
E9,M,3.0,1846,HIGHWAY,1500.0,2.0,N,THROUGH,IRON,SHORT,S,SUSPEN
E10,A,39.0,1848,AQUEDUCT,,1.0,N,DECK,WOOD,,S,WOOD
E11,A,29.0,1851,HIGHWAY,1000.0,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
E12,A,39.0,1853,RR,,2.0,N,DECK,WOOD,,S,WOOD
E14,M,6.0,1856,HIGHWAY,1200.0,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
E13,A,33.0,1856,HIGHWAY,,2.0,N,THROUGH,WOOD,,S,WOOD
E15,A,28.0,1857,RR,,2.0,N,THROUGH,WOOD,,S,WOOD
E16,A,25.0,1859,HIGHWAY,1030.0,2.0,N,THROUGH,IRON,MEDIUM,S-F,SUSPEN
E17,M,4.0,1863,RR,1000.0,2.0,N,THROUGH,IRON,MEDIUM,,SIMPLE-T
E18,A,28.0,1864,RR,1200.0,2.0,N,THROUGH,IRON,SHORT,S,SIMPLE-T
E19,A,29.0,1866,HIGHWAY,1000.0,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
E20,A,32.0,1870,HIGHWAY,1000.0,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
E21,M,16.0,1874,RR,,2.0,,THROUGH,IRON,,,SIMPLE-T
E23,M,1.0,1876,HIGHWAY,1245.0,,,THROUGH,STEEL,LONG,F,SUSPEN
E22,A,24.0,1876,HIGHWAY,1200.0,4.0,G,THROUGH,WOOD,SHORT,S,WOOD
E24,O,45.0,1878,RR,,2.0,G,,STEEL,,,SIMPLE-T
E25,M,10.0,1882,RR,,2.0,G,,STEEL,,,SIMPLE-T
E27,A,39.0,1883,RR,,2.0,G,THROUGH,STEEL,,F,SIMPLE-T
E26,M,12.0,1883,RR,1150.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
E30,A,31.0,1884,RR,,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E29,A,26.0,1884,HIGHWAY,1080.0,2.0,G,THROUGH,STEEL,MEDIUM,,SUSPEN
E28,M,3.0,1884,HIGHWAY,1000.0,2.0,G,THROUGH,STEEL,MEDIUM,S,ARCH
E32,A,30.0,1887,HIGHWAY,,2.0,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
E31,M,8.0,1887,RR,1161.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
E34,O,41.0,1888,RR,4558.0,2.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
E33,M,19.0,1889,HIGHWAY,1120.0,,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
E36,O,45.0,1890,HIGHWAY,,2.0,G,THROUGH,IRON,SHORT,F,SIMPLE-T
E35,A,27.0,1890,HIGHWAY,1000.0,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E38,M,17.0,1891,HIGHWAY,,2.0,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
E37,M,18.0,1891,RR,1350.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
E39,A,25.0,1892,HIGHWAY,,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E4,A,27.0,1892,AQUEDUCT,1092.0,1.0,N,THROUGH,WOOD,SHORT,S,WOOD
E40,M,22.0,1893,HIGHWAY,,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E41,M,11.0,1894,HIGHWAY,,2.0,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
E42,M,9.0,1895,HIGHWAY,2367.0,2.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
E44,O,48.0,1896,HIGHWAY,,2.0,G,THROUGH,STEEL,LONG,F,SUSPEN
E43,M,7.0,1896,HIGHWAY,1040.0,2.0,G,THROUGH,STEEL,LONG,F,ARCH
E46,A,37.0,1897,RR,4000.0,2.0,G,DECK,STEEL,LONG,F,SIMPLE-T
E45,M,14.0,1897,RR,2264.0,,G,THROUGH,STEEL,,F,SIMPLE-T
E47,M,15.0,1898,RR,2000.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
E58,A,33.0,1900,HIGHWAY,1200.0,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E48,A,38.0,1900,HIGHWAY,2000.0,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E94,M,13.0,1901,RR,,2.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
E49,A,34.0,1902,HIGHWAY,1850.0,2.0,G,THROUGH,STEEL,MEDIUM,F,CANTILEV
E95,M,16.0,1903,RR,1300.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
E87,A,35.0,1903,RR,3000.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
E51,M,6.0,1903,RR,1417.0,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E50,M,21.0,1903,RR,1154.0,,G,THROUGH,STEEL,LONG,F,SIMPLE-T
E89,M,4.0,1904,RR,1200.0,2.0,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
E53,A,28.0,1904,RR,965.0,4.0,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
E52,M,2.0,1904,RR,1504.0,,G,THROUGH,STEEL,LONG,F,CANTILEV
E54,Y,,1908,HIGHWAY,1240.0,,G,,STEEL,MEDIUM,F,SIMPLE-T
E56,M,23.0,1909,HIGHWAY,,,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E55,A,36.0,1909,HIGHWAY,1730.0,2.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
E57,O,49.0,1910,RR,1620.0,2.0,G,THROUGH,STEEL,LONG,F,CANTILEV
E59,O,43.0,1911,HIGHWAY,1652.0,2.0,G,THROUGH,STEEL,LONG,F,CANTILEV
E107,A,39.0,1914,RR,,,G,,STEEL,,F,NIL
E92,M,10.0,1914,RR,2210.0,,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E61,O,41.0,1915,RR,2822.0,2.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
E60,A,24.0,1915,HIGHWAY,1000.0,4.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
E62,A,37.0,1918,RR,2300.0,2.0,N,DECK,STEEL,LONG,F,CONT-T
E63,A,31.0,1920,RR,2122.0,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E65,A,30.0,1921,WALK,,,G,THROUGH,STEEL,,F,SUSPEN
E64,A,29.0,1923,HIGHWAY,885.0,4.0,G,THROUGH,STEEL,MEDIUM,F,ARCH
E66,A,32.0,1924,HIGHWAY,2365.0,4.0,G,THROUGH,STEEL,MEDIUM,S,ARCH
E70,A,27.0,1926,HIGHWAY,860.0,4.0,G,THROUGH,STEEL,MEDIUM,S-F,SUSPEN
E69,A,26.0,1926,HIGHWAY,884.0,4.0,G,THROUGH,STEEL,MEDIUM,S-F,SUSPEN
E101,O,46.0,1927,HIGHWAY,1770.0,2.0,G,THROUGH,STEEL,LONG,S-F,CANTILEV
E73,A,38.0,1927,HIGHWAY,1508.0,,G,THROUGH,STEEL,MEDIUM,S,ARCH
E72,M,5.0,1927,HIGHWAY,2663.0,4.0,N,DECK,STEEL,MEDIUM,S-F,CANTILEV
E67,M,1.0,1927,HIGHWAY,1330.0,4.0,G,THROUGH,STEEL,LONG,F,CANTILEV
E75,A,30.0,1928,HIGHWAY,2678.0,4.0,G,DECK,STEEL,MEDIUM,F,ARCH
E74,M,20.0,1928,HIGHWAY,2220.0,2.0,G,DECK,STEEL,MEDIUM,S-F,CANTILEV
E71,A,25.0,1928,HIGHWAY,860.0,4.0,G,THROUGH,STEEL,MEDIUM,S-F,SUSPEN
E68,M,17.0,1928,HIGHWAY,2250.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
E78,O,40.0,1931,HIGHWAY,1365.0,4.0,G,THROUGH,STEEL,LONG,F,ARCH
E77,O,42.0,1931,HIGHWAY,1450.0,4.0,N,THROUGH,STEEL,LONG,F,ARCH
E76,M,6.0,1931,HIGHWAY,1500.0,4.0,G,THROUGH,STEEL,LONG,F,SUSPEN
E93,M,11.0,1937,HIGHWAY,1690.0,4.0,N,DECK,STEEL,LONG,S-F,CONT-T
E79,A,34.0,1939,HIGHWAY,1800.0,4.0,G,DECK,STEEL,MEDIUM,F,CANTILEV
E108,A,39.5,1945,HIGHWAY,1060.0,4.0,G,DECK,STEEL,MEDIUM,S-F,CONT-T
E107N,A,39.7,1945,RR,840.0,2.0,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
E105,A,38.5,1945,HIGHWAY,1710.0,2.0,N,DECK,STEEL,MEDIUM,S-F,CONT-T
E103,O,48.0,1945,HIGHWAY,2160.0,2.0,G,THROUGH,STEEL,LONG,F,CANTILEV
E97,Y,52.0,1945,HIGHWAY,,,G,THROUGH,STEEL,MEDIUM,S,ARCH
E96,Y,51.0,1945,RR,,,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E99,M,23.0,1950,HIGHWAY,1320.0,2.0,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
E98,M,22.0,1951,HIGHWAY,900.0,4.0,G,THROUGH,STEEL,MEDIUM,F,CONT-T
E81,M,14.0,1951,HIGHWAY,2423.0,4.0,G,DECK,STEEL,LONG,F,CONT-T
E80,M,19.0,1951,HIGHWAY,1031.0,4.0,G,THROUGH,STEEL,LONG,F,CANTILEV
E88,A,37.0,1955,HIGHWAY,2300.0,4.0,N,DECK,STEEL,LONG,F,CONT-T
E82,O,42.0,1955,HIGHWAY,804.0,,G,THROUGH,STEEL,,F,SIMPLE-T
E102,O,47.0,1959,HIGHWAY,1700.0,2.0,G,THROUGH,STEEL,LONG,F,CONT-T
E83,M,1.0,1959,HIGHWAY,1000.0,6.0,G,THROUGH,STEEL,LONG,F,ARCH
E86,A,33.0,1961,HIGHWAY,980.0,4.0,G,DECK,STEEL,MEDIUM,S-F,CONT-T
E85,M,9.0,1962,HIGHWAY,2213.0,4.0,G,DECK,STEEL,LONG,F,CONT-T
E84,A,24.0,1969,HIGHWAY,870.0,6.0,G,THROUGH,STEEL,MEDIUM,F,ARCH
E91,O,44.0,1975,HIGHWAY,3756.0,6.0,G,THROUGH,STEEL,LONG,F,ARCH
E90,M,7.0,1978,HIGHWAY,950.0,6.0,G,THROUGH,STEEL,LONG,F,ARCH
E100,O,43.0,1982,HIGHWAY,,,G,,,,F,
E109,A,28.0,1986,HIGHWAY,,,G,,,,F,
